Eurocode 3 (in accordance with the UK National Annex) (BS EN 10210-2: 2006),,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hot-Finished Square Hollow Sections, Section properties",,,,,,,,,,,,,
Dimensions & properties,,,,,,,,,,,,,
,,,,,,,,,,,,,
Section designation,,,Dimensions and properties,,,,,,,,,,
Size,Thickness,,Mass per metre,Area of section,Ratio for local buckling,Second moment of area,Radius of gyration,Elastic modulus,Plastic modulus,Torsional constants,,Surface area,
,17.5,,97.7,124,8.43,6790,7.39,679,842,11100,983,0.755,7.73
220  x  220,8.0,,52.7,67.2,24.5,5000,8.63,455,532,7760,669,0.859,16.3
,10.0,,65.1,82.9,19.0,6050,8.54,550,650,9470,807,0.854,13.1
,12.5,,80.1,102,14.6,7250,8.43,659,789,11500,963,0.848,10.6
,14.2,,90.1,115,12.5,8010,8.35,728,879,12800,1060,0.843,9.36
,16.0,,100,128,10.8,8750,8.27,795,969,14100,1160,0.839,8.39
,17.5,,109,138,9.57,9320,8.21,848,1040,15100,1230,0.835,7.66
250  x  250,5.0,,38.3,48.7,47.0,4860,9.99,389,447,7430,577,0.987,25.8
,6.3,,47.9,61.0,36.7,6010,9.93,481,556,9240,712,0.984,20.5
,8.0,,60.3,76.8,28.3,7460,9.86,596,694,11500,880,0.979,16.2
,10.0,,74.5,94.9,22.0,9060,9.77,724,851,14100,1060,0.974,13.1
,12.5,,91.9,117,17.0,10900,9.66,873,1040,17200,1280,0.968,10.5
,14.2,,103,132,14.6,12100,9.58,967,1160,19100,1410,0.963,9.35
,16.0,,115,147,12.6,13300,9.50,1060,1280,21100,1550,0.959,8.34
,17.5,,125,159,11.3,14200,9.43,1140,1380,22700,1650,0.955,7.64
260  x  260,10.0,,77.7,98.9,23.0,10200,10.2,788,924,15900,1160,1.01,13.0
,12.5,,95.8,122,17.8,12400,10.1,951,1130,19400,1390,1.01,10.5
,14.2,,108,137,15.3,13700,9.99,1060,1260,21700,1540,1.00,9.26
,16.0,,120,153,13.3,15100,9.91,1160,1390,23900,1690,0.999,8.33
,17.5,,131,166,11.9,16100,9.84,1240,1500,25800,1800,0.995,7.60
300  x  300,6.3,,57.8,73.6,44.6,10500,12.0,703,809,16100,1040,1.18,20.4
,8.0,,72.8,92.8,34.5,13100,11.9,875,1010,20200,1290,1.18,16.2
,10.0,,90.2,115,27.0,16000,11.8,1070,1250,24800,1580,1.17,13.0
,12.5,,112,142,21.0,19400,11.7,1300,1520,30300,1900,1.17,10.4
,14.2,,126,160,18.1,21600,11.6,1440,1710,33900,2110,1.16,9.21
,16.0,,141,179,15.8,23800,11.5,1590,1900,37600,2320,1.16,8.23
,17.5,,153,194,14.1,25600,11.5,1710,2050,40600,2490,1.15,7.52
350  x  350,8.0,,85.4,109,40.8,21100,13.9,1210,1390,32400,1790,1.38,16.2
,10.0,,106,135,32.0,25900,13.9,1480,1720,39900,2180,1.37,12.9
,12.5,,131,167,25.0,31500,13.7,1800,2110,48900,2650,1.37,10.5
,14.2,,148,189,21.6,35200,13.7,2010,2360,54900,2960,1.36,9.19
,16.0,,166,211,18.9,38900,13.6,2220,2630,61000,3260,1.36,8.19
,17.5,,180,229,17.0,41900,13.5,2400,2840,65900,3510,1.35,7.50
400  x  400,8.0,,97.9,125,47.0,31900,16.0,1590,1830,48700,2360,1.58,16.1
,10.0,,122,155,37.0,39100,15.9,1960,2260,60100,2900,1.57,12.9
,12.5,,151,192,29.0,47800,15.8,2390,2780,73900,3530,1.57,10.4
,14.2,,170,217,25.2,53500,15.7,2680,3130,83000,3940,1.56,9.18
,16.0,,191,243,22.0,59300,15.6,2970,3480,92400,4360,1.56,8.17
,17.5,,208,264,19.9,64000,15.6,3200,3780,100000,4700,1.55,7.45
,,,,,,,,,,,,,
(1) For local buckling calculation c = h - 3t,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
This data was downloaded from the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/hfshs/ec3-ukna/section-properties-dimensions-properties/) on 28/05/2026 at 20:46:56 ,,,,,,,,,,,,,
"© 2026, SCI. This data is subject to the same terms as defined by the Steel for Life Blue Book website (http://www.steelforlifebluebook.co.uk/about/)",,,,,,,,,,,,,
